,96 GB,9.6 GB,960 MB,96 MB
0,1.0,1.9990234,2.9970703,4.0
1,4.997557,5.998047,6.995603,7.9907227
2,8.989242,9.986816,10.983887,11.990234
3,12.953125,13.975098,14.967285,15.929199
4,16.942871,17.96727,18.955566,19.939453
5,20.919922,21.971191,22.898338,23.909668
6,24.85205,25.880312,26.869629,27.823242
7,28.85254,29.851562,30.890625,31.878359
8,32.84856,33.880802,34.79297,35.70752
9,36.788086,37.811523,38.77295,39.746582
10,40.757324,41.74548,42.666504,43.691895
11,44.765137,45.710938,46.6875,47.618164
12,48.70752,49.62744,50.443848,51.57959
13,52.51709,53.500977,54.42285,55.541504
14,56.467285,57.595215,58.53125,59.385254
15,60.335125,61.17627,62.545677,63.259277
16,64.319,65.39795,66.29883,67.23633
17,68.288086,69.1148,70.0957,71.3457
18,72.17627,73.25244,74.34619,75.11572
19,76.0171,76.944336,78.3208,79.11914
20,80.01514,80.80215,81.73828,83.14014
21,83.93408,84.666016,85.81543,86.839355
22,87.58301,88.777725,89.77919,90.430664
23,91.828125,92.21446,93.27588,94.31641
24,95.62842,96.41113,97.029785,98.523926
25,99.42871,99.956055,101.552734,102.51465
26,103.00195,104.34279,105.35075,105.87836
27,107.37158,108.4553,108.936035,110.18515
28,110.81152,111.680664,112.81592,113.55713
29,114.76014,115.62549,117.44238,118.149
30,118.6416,119.3703,120.36035,121.64307
31,122.70459,123.49805,124.83984,125.86914
32,126.30645,127.617676,128.22559,129.58496
33,130.37354,131.20508,132.32275,132.50732
34,133.95654,135.42355,136.5044,137.10693
35,136.84424,138.71729,139.99658,140.97021
36,141.42334,142.88623,144.19678,144.83977
37,145.08606,146.92041,147.49658,147.6377
38,149.99072,149.81241,151.45654,151.40088
39,153.09326,153.39522,154.59668,155.29213
40,156.58252,157.6206,158.66309,160.26465
41,160.90918,161.4331,162.5664,163.08647
42,164.58496,165.7616,166.09668,167.72412
43,168.32161,168.95653,169.37305,170.68848
44,172.99512,172.55957,173.49121,174.44406
45,175.27246,175.93307,177.00928,178.94821
46,179.8872,180.06201,181.59843,183.20605
47,183.65137,184.27748,184.76709,185.54395
48,186.16463,188.64258,188.09521,190.98291
49,191.13184,192.98047,192.40742,193.8291
50,1.0,1.9985337,2.9912024,3.9838789
51,4.973594,5.9681997,6.937347,7.920821
52,8.913489,9.893836,10.831702,11.813783
53,12.817115,13.700048,14.669276,15.6331215
54,16.584639,17.575758,18.566814,19.44819
55,20.483097,21.343933,22.242424,23.269438
56,24.269306,25.020048,25.993156,26.885574
57,27.784737,28.866373,29.526676,30.681664
58,31.63454,32.32209,33.137966,34.15347
59,35.021484,36.206642,37.065067,37.70039
60,38.367905,39.714565,40.311188,41.69629
61,42.325844,43.350758,44.21359,44.962273
62,45.915443,46.521526,47.733887,48.286762
63,48.91593,50.12176,51.1423,52.413086
64,53.13252,53.859795,54.348316,54.733757
65,56.38191,56.68037,57.23472,58.496574
66,58.862526,60.45766,61.641212,62.212715
67,62.73666,63.47582,64.39266,64.83195
68,65.68279,67.44211,67.465034,69.223366
69,69.1261,70.14887,69.93001,72.19296
70,72.26663,73.81569,74.97506,75.21146
71,76.303856,76.53056,77.784454,77.17555
72,78.633385,80.280685,79.61535,81.19912
73,81.62689,81.67906,83.52446,85.265656
74,84.71429,85.016624,86.42878,85.70211
75,87.955925,88.58456,89.32861,90.57527
76,90.847435,91.04543,92.106064,92.909134
77,93.29248,95.78983,96.20401,96.092285
78,96.17434,97.22776,98.26846,97.12274
79,100.19306,100.9858,101.12922,102.49511
80,101.930176,103.57751,104.50195,103.36168
81,105.323715,105.55914,107.29144,107.329414
82,107.820625,109.25305,111.60723,109.26125
83,112.32241,111.37958,112.8591,112.56745
84,112.7254,115.119255,114.0523,115.19746
85,117.07241,117.74083,118.611435,117.93343
86,120.510765,117.963776,119.57066,122.43123
87,121.549194,123.53327,124.85784,123.958374
88,123.82298,125.02251,123.96139,126.75355
89,125.765625,129.34279,126.86888,128.18533
90,130.84494,128.50587,130.32632,130.4846
91,131.20656,130.24597,131.67401,132.0611
92,133.97704,132.95601,135.36354,138.02106
93,136.74376,136.38007,139.1003,138.73715
94,139.7231,141.73618,138.72687,141.5872
95,142.8466,143.70709,141.55821,141.19374
96,144.51662,144.17783,147.27055,146.9066
97,145.85442,145.57506,148.56912,146.60176
98,148.94722,151.3532,150.19844,150.83618
99,151.63033,150.52007,153.13985,152.84506
100,1.0,1.9776564,2.927687,3.8368864
101,4.710253,5.601682,6.4558463,7.27915
102,8.091852,8.863142,9.5516205,10.224469
103,11.047973,11.816568,12.329877,12.980139
104,13.638697,14.308226,15.007441,15.276839
105,15.793155,16.54731,17.176064,17.648193
106,18.138752,18.843147,19.036337,19.371584
107,20.237555,20.755941,20.825829,21.40297
108,22.044554,22.268753,22.75371,23.174
109,23.1713,23.459513,24.176092,24.679703
110,24.674963,24.328558,25.468222,25.33548
111,26.18883,25.883514,27.260138,26.862648
112,26.804262,27.400694,26.281343,28.086462
113,27.672781,28.018848,28.77045,28.627218
114,28.397518,28.888174,29.12643,28.753479
115,29.943592,29.27075,30.759525,29.948908
116,29.757921,29.533035,30.612103,30.990566
117,30.426172,30.337624,31.0668,31.5
118,32.122955,32.241806,31.85884,31.160397
119,31.76494,32.768204,31.762611,31.831604
120,32.414936,32.576088,31.968765,32.279625
121,31.60525,32.65591,33.35297,31.93037
122,33.642574,32.663185,33.5304,33.07468
123,32.8546,33.1726,33.17277,34.62537
124,32.907516,33.758568,33.840416,33.536404
125,33.634377,34.15129,34.183846,33.45819
126,33.99703,32.750122,34.048466,33.667492
127,33.815674,33.444115,33.19506,34.024776
128,33.716057,34.411705,34.07662,34.551876
129,34.415966,33.960987,33.102627,33.277752
130,34.17647,34.70005,35.246902,33.859203
131,33.437126,35.661217,34.45032,34.74444
132,35.091404,34.386665,34.380363,35.122765
133,35.408596,34.96784,34.895832,35.347527
134,36.39128,36.37815,35.595062,36.822365
135,35.83391,34.53637,33.87759,35.150898
136,36.04324,35.442574,35.40356,35.288967
137,35.09172,35.759167,34.53644,34.672295
138,35.58494,36.024246,37.01384,36.441643
139,35.491333,35.202286,35.17469,35.774113
140,35.721725,36.006447,34.414017,35.980663
141,34.806133,35.54703,36.114017,36.937965
142,35.62952,36.439484,35.311604,36.209095
143,35.932312,37.397526,35.07448,35.44395
144,34.34619,34.974182,35.478302,35.74542
145,35.228798,35.45134,34.946507,35.636677
146,33.255447,34.61367,35.00397,35.34243
147,35.341427,35.114414,35.095783,36.055912
148,35.08424,34.490845,35.76851,36.296642
149,36.660404,34.30321,35.36004,35.700348
150,1.0,1.7575928,2.3039598,2.7734776
151,3.090909,3.348144,3.484305,3.5799775
152,3.7493052,3.7915967,3.774972,3.899435
153,4.07294,3.8348215,4.039564,4.0315847
154,4.025641,4.0138965,3.9264958,4.0579066
155,4.128603,3.938196,4.1004515,4.010783
156,4.0945415,4.1776648,3.9949608,3.986991
157,4.2660756,3.9717355,4.008919,4.0905514
158,4.115363,4.053916,4.084964,3.936788
159,3.9457934,4.2031693,4.0215178,3.9854178
160,4.003339,4.0649133,4.076708,4.0650315
161,4.027117,4.0253806,4.0518975,4.1644444
162,4.1426983,4.037946,3.9864023,4.082503
163,3.9350362,4.060845,4.0343275,4.0780025
164,3.9227324,4.162946,3.952381,4.125424
165,4.19468,4.0137615,4.1113625,4.046265
166,3.972595,3.9872081,4.0286036,4.0371203
167,4.3402233,3.9802036,3.9960363,3.9983194
168,3.963442,4.2339706,3.9916155,4.0390844
169,4.191902,4.062813,4.0267706,4.118502
170,4.0405107,3.983835,3.922817,4.041899
171,3.9662542,3.9336307,4.041313,4.0145087
172,4.108732,4.0581923,4.184063,4.048998
173,4.187184,4.1272626,4.028953,3.971831
174,4.1562324,3.8338964,4.1628036,4.074944
175,4.106599,3.9904816,3.9581473,3.978519
176,4.049466,4.0658484,4.12128,3.8888888
177,4.0916333,4.1519413,4.0729227,4.0547633
178,4.1166573,4.1663866,4.1073256,4.1178794
179,4.076185,3.9027934,4.035955,4.030543
180,3.9405162,4.0871253,4.0978746,4.072194
181,3.9866147,4.154835,4.2002225,4.044332
182,3.9240649,4.0096207,4.1491375,4.0905533
183,3.9080653,4.1525517,3.9373615,4.0107164
184,4.0968647,4.106359,3.9266927,4.087542
185,4.089527,4.0911617,4.0477796,4.013378
186,4.0682573,4.0729804,4.1054688,3.8479366
187,3.9707208,4.1434174,4.0229435,4.0299773
188,4.1089993,4.0213485,4.0680156,4.039643
189,3.9457934,4.1630926,4.1214128,3.858412
190,4.2137275,4.022497,4.069624,4.099379
191,4.0275126,3.9162946,4.0370164,4.077528
192,4.070741,4.0236354,4.064516,4.032313
193,4.0199227,3.9688022,3.9268973,4.1559377
194,4.038138,4.0216064,4.0260625,4.1208916
195,4.1164775,3.9137452,4.2072425,3.9943757
196,3.916433,4.173378,3.891464,4.0721126
197,4.0474043,4.1231027,4.042849,4.1247125
198,4.0679393,4.13847,4.113229,4.1152983
199,4.11074,4.0470324,4.0212407,3.9575071
